CompetitorId,Back Squat,Clean and Jerk,Snatch,Deadlift,Fran,Grace,Helen,Filthy 50,Sprint 400m,Run 5k,Fight Gone Bad,Max Pull-ups,L1 Benchmark
92635,--,--,--,--,--,--,--,--,--,--,--,--,
1604740,270 lb,225 lb,187 lb,340 lb,--,--,--,--,--,--,--,--,
861176,--,--,--,--,--,--,--,--,--,--,--,--,
1763858,--,--,--,--,--,--,--,--,--,--,--,--,
39517,125 kg,105 kg,85 kg,160 kg,--,--,--,--,1:10,22:30,--,--,--
116246,126 kg,104 kg,--,160 kg,2:14,--,--,--,--,--,--,--,
1403063,300 lb,245 lb,200 lb,345 lb,--,1:27,--,--,1:04,--,--,--,
1019120,--,--,--,--,--,--,--,--,--,--,--,--,
1190953,--,--,--,--,--,--,--,--,--,--,--,--,
672076,--,--,--,--,--,--,--,--,--,--,--,--,
330326,125 kg,100 kg,78 kg,163 kg,2:18,--,--,--,--,--,--,--,
557555,--,55 kg,35 kg,--,--,--,--,--,--,--,--,--,
1788036,120 kg,--,--,180 kg,--,--,--,--,--,--,--,--,
1828834,145 kg,100 kg,80 kg,165 kg,--,--,--,--,--,--,--,--,
1163483,120 kg,91 kg,57 kg,150 kg,--,--,--,--,--,--,--,--,--
482533,--,--,--,--,--,--,--,--,--,--,--,--,
128857,--,--,--,--,--,--,--,--,--,--,--,--,
1769730,--,--,--,--,--,--,--,--,--,--,--,--,
1212088,322 lb,205 lb,185 lb,382 lb,--,--,--,--,--,--,--,--,
1344968,--,--,--,--,--,--,--,--,--,--,--,--,
121324,355 lb,285 lb,220 lb,370 lb,2:05,3:14,11:00,28:26,--,--,--,--,--
717665,105 kg,--,--,123 kg,--,--,--,--,--,--,--,--,
1115280,--,--,--,--,--,--,--,--,--,--,--,--,
906706,--,--,--,--,--,--,--,--,--,--,--,--,
746771,--,--,--,--,--,--,--,--,--,--,--,--,
796219,135 kg,105 kg,87 kg,171 kg,--,--,--,--,--,--,--,--,--
1571024,85 kg,--,45 kg,--,--,--,--,--,--,--,--,--,
434531,300 lb,190 lb,165 lb,325 lb,2:27,--,8:33,--,--,--,--,--,--
237811,300 lb,235 lb,195 lb,405 lb,--,--,--,--,--,--,--,--,
837605,275 lb,240 lb,175 lb,345 lb,2:17,--,--,--,--,--,--,--,
263982,--,--,--,--,--,--,--,--,--,--,--,--,
297651,--,--,--,--,--,--,--,--,--,--,--,--,
259202,280 lb,235 lb,182 lb,340 lb,2:14,1:24,--,--,1:13,--,368,40,
1264406,--,--,--,--,--,--,--,--,--,--,--,--,
1427328,--,--,--,--,--,--,--,--,--,--,--,--,
1012512,280 lb,215 lb,180 lb,350 lb,--,--,--,--,--,--,--,--,
1151619,325 lb,245 lb,200 lb,365 lb,--,--,--,--,--,--,--,--,
520294,--,--,--,--,--,--,--,--,--,--,--,--,
1200461,--,--,--,--,--,--,--,--,--,--,--,--,
873165,--,--,--,--,--,--,--,--,--,23:41,--,--,
823089,320 lb,250 lb,200 lb,350 lb,--,--,--,--,--,--,--,--,
536902,125 kg,94 kg,80 kg,130 kg,--,1:52,--,--,--,--,--,--,
918656,125 kg,93 kg,77 kg,130 kg,4:09,--,10:52,23:30,--,--,--,--,
290824,300 lb,225 lb,165 lb,370 lb,2:14,1:29,7:55,20:41,1:07,20:49,466,50,
421299,--,--,--,--,--,--,--,--,--,--,--,--,
1227476,--,--,--,--,--,--,--,--,--,--,--,--,
40756,295 lb,225 lb,185 lb,315 lb,3:05,1:41,--,--,--,--,--,36,
321694,--,--,--,--,--,--,--,--,--,--,--,--,
270175,110 kg,93 kg,73 kg,130 kg,3:15,2:47,--,--,--,--,--,33,
338296,140 kg,90 kg,78 kg,143 lb,2:48,--,--,--,--,--,--,--,
30824,130 kg,105 kg,75 kg,165 kg,3:43,2:33,9:14,23:34,--,25:00,--,--,
644959,--,--,--,--,--,--,--,--,--,--,--,--,
847008,--,--,--,--,--,--,--,--,--,--,--,--,
264796,--,--,--,--,--,--,--,--,--,--,--,--,
4925,275 lb,227 lb,185 lb,335 lb,--,1:19,--,--,--,--,412,--,
1464383,--,--,--,--,--,--,--,--,--,--,--,--,
315131,300 lb,235 lb,185 lb,330 lb,2:12,1:39,8:03,--,--,--,--,65,
1667177,--,--,--,--,--,--,--,--,--,--,--,--,
74426,363 lb,255 lb,205 lb,350 lb,2:38,--,--,--,--,--,--,--,
1231017,--,--,--,--,--,--,--,--,--,--,--,--,
661514,295 lb,230 lb,170 lb,265 lb,3:59,--,--,--,--,--,--,--,
953791,--,--,--,--,--,--,--,--,--,--,--,--,
772985,325 lb,235 lb,185 lb,355 lb,2:34,1:38,--,--,0:59,21:15,434,50,
505655,230 lb,200 lb,165 lb,--,--,--,--,--,--,--,--,--,
352061,370 lb,275 lb,210 lb,385 lb,--,--,--,--,--,--,--,--,
569834,318 lb,250 lb,195 lb,405 lb,2:19,--,--,--,--,--,--,--,
276263,255 lb,190 lb,160 lb,300 lb,--,--,--,--,--,--,--,--,
109933,143 kg,110 kg,83 kg,151 kg,3:04,1:09,--,--,1:09,--,--,30,
574985,--,215 lb,175 lb,--,2:09,--,5:46,--,--,--,--,--,
331790,325 lb,226 lb,193 lb,301 lb,--,--,--,--,--,--,--,--,
647048,--,--,--,--,--,--,--,--,--,--,--,--,
546042,270 lb,200 lb,170 lb,300 lb,2:42,--,--,--,--,--,--,--,
1246871,--,--,--,--,--,--,--,--,--,--,--,--,
337635,210 lb,155 lb,110 lb,265 lb,--,--,--,--,--,--,--,--,
952246,--,--,--,--,--,--,--,--,--,--,--,--,
101651,135 kg,108 kg,80 kg,175 kg,2:43,1:43,--,--,1:01,22:56,410,32,
1915859,335 lb,235 lb,175 lb,415 lb,--,--,--,--,--,--,--,--,
1995107,295 lb,230 lb,170 lb,350 lb,--,--,--,--,--,--,--,--,
126590,275 lb,225 lb,165 lb,325 lb,--,--,--,--,--,--,--,--,
872073,--,--,--,--,--,--,--,--,--,--,--,--,
798694,325 lb,255 lb,180 lb,375 lb,2:41,--,--,--,--,--,--,--,
805435,--,--,--,--,--,--,--,--,--,--,--,--,
807114,335 lb,250 lb,175 lb,390 lb,--,1:51,--,--,--,--,--,--,
1008053,345 lb,265 lb,200 lb,396 lb,2:53,1:21,9:00,--,--,--,--,--,
1277109,--,--,--,--,--,--,--,--,--,--,--,--,
1212706,--,--,--,--,--,--,--,--,--,--,--,--,
599239,300 lb,210 lb,155 lb,345 lb,2:33,1:13,--,--,1:04,22:02,--,--,
244983,270 lb,215 lb,155 lb,330 lb,2:19,2:24,8:28,--,--,22:23,--,53,
228939,--,--,--,--,2:29,1:33,9:01,--,1:15,21:46,--,--,
1559400,140 kg,98 kg,70 kg,145 kg,2:55,--,--,--,--,--,--,40,
98311,--,--,--,--,--,--,--,--,--,--,--,--,
265697,250 lb,225 lb,185 lb,340 lb,2:54,1:44,7:51,--,--,21:52,387,61,
878483,260 lb,215 lb,185 lb,305 lb,--,1:48,--,--,1:04,20:29,371,--,
551906,--,--,--,--,--,--,--,--,--,--,--,--,
996866,--,--,--,--,--,--,--,--,--,19:57,--,--,--
1558034,285 lb,245 lb,195 lb,335 lb,2:05,--,--,--,1:05,22:09,--,--,
154472,265 lb,190 lb,135 lb,305 lb,--,--,--,--,--,--,--,--,
160026,--,--,--,--,--,--,--,--,--,--,--,--,
300771,--,216 lb,170 lb,316 lb,--,--,--,--,--,--,--,--,
968032,--,--,--,--,--,--,--,--,--,--,--,--,
379759,275 lb,215 lb,166 lb,322 lb,--,--,--,--,--,--,--,--,
1352637,--,--,--,--,--,--,--,--,--,--,--,--,
144083,320 lb,205 lb,175 lb,320 lb,2:15,--,--,--,--,--,--,--,
1255067,--,--,--,--,--,--,--,--,--,--,--,--,
101929,145 kg,105 kg,90 kg,165 kg,2:50,1:25,7:52,--,--,22:00,426,35,--
527011,119 kg,100 kg,83 kg,160 kg,--,--,--,--,--,--,--,--,
1739826,140 kg,100 kg,77 kg,--,--,--,--,--,--,--,--,--,
1658135,330 lb,--,--,--,--,--,--,--,--,--,--,--,--
255528,--,--,--,--,--,--,--,--,--,--,--,--,
313257,--,--,--,--,--,--,--,--,--,--,--,--,
708499,335 lb,255 lb,185 lb,345 lb,2:31,2:08,--,--,1:20,--,--,--,
1001544,--,--,--,--,--,--,--,--,--,--,--,--,
537176,275 lb,--,190 lb,330 lb,--,--,--,--,--,--,--,--,
1347417,--,--,--,--,--,--,--,--,--,--,--,--,
908100,145 kg,116 kg,--,155 kg,--,--,--,--,--,--,--,--,
290135,260 lb,210 lb,170 lb,317 lb,--,--,--,--,--,--,--,--,--
686102,290 lb,225 lb,165 lb,325 lb,2:23,--,--,--,--,--,--,--,
905243,160 kg,115 kg,89 kg,200 kg,2:15,1:15,--,--,--,--,--,--,
1049415,130 kg,105 kg,90 kg,160 kg,2:26,1:30,--,--,--,--,--,--,
1788841,125 kg,90 kg,75 kg,135 kg,--,--,--,--,--,--,--,60,
244032,--,--,--,--,--,--,--,--,--,--,--,--,
527846,265 lb,220 lb,175 lb,315 lb,--,--,--,--,--,22:57,--,--,
512258,--,--,--,--,--,--,--,--,--,--,--,--,
1213606,122 kg,85 kg,70 kg,145 kg,2:39,--,--,--,--,--,--,--,
226482,315 lb,230 lb,175 lb,325 lb,2:24,1:39,8:28,18:08,--,--,420,45,
28735,--,200 lb,180 lb,--,--,--,--,--,--,--,--,40,
272888,345 lb,230 lb,185 lb,360 lb,2:41,--,--,--,--,--,--,--,
913051,--,--,--,--,--,--,--,--,--,--,--,--,
654709,--,--,--,--,--,--,--,--,--,--,--,--,
26745,240 lb,205 lb,160 lb,300 lb,2:11,1:45,--,--,--,--,--,--,
692065,145 kg,102 kg,82 kg,173 kg,--,--,--,--,--,--,--,--,
2185883,142 kg,100 kg,81 kg,--,3:01,--,--,--,--,--,--,--,
872981,141 kg,106 kg,90 kg,150 kg,--,--,--,--,--,--,--,--,
653674,255 lb,190 lb,150 lb,280 lb,3:54,2:17,--,--,--,--,--,--,
1016871,295 lb,210 lb,160 lb,350 lb,1:18,--,--,--,1:02,--,--,--,
902935,157 kg,115 kg,90 kg,200 kg,2:56,1:52,--,--,--,--,--,--,
250978,--,--,--,--,--,--,--,--,--,--,--,--,
1571268,350 lb,250 lb,175 lb,342 lb,--,--,--,--,0:43,23:00,--,--,
133610,--,--,--,--,--,--,--,--,--,--,--,--,
726765,300 lb,235 lb,205 lb,325 lb,2:50,--,10:36,--,1:19,--,329,46,
1687344,--,--,--,--,--,--,--,--,--,--,--,--,
595674,340 lb,255 lb,190 lb,350 lb,--,--,--,--,--,--,--,--,
716089,--,--,--,--,--,--,--,--,--,--,--,--,
1226293,--,--,--,--,--,--,--,--,--,--,--,--,
1038759,--,--,--,--,--,--,--,--,--,--,--,--,
963787,295 lb,210 lb,155 lb,325 lb,2:32,1:54,--,22:15,--,22:20,--,--,
2083106,--,--,--,--,--,--,--,--,--,--,--,--,
801919,295 lb,240 lb,190 lb,375 lb,--,1:11,--,--,--,20:18,--,--,
1832420,140 kg,108 kg,90 kg,150 kg,--,--,--,--,--,--,--,--,
1822701,295 lb,205 lb,160 lb,335 lb,--,--,--,--,--,--,--,--,
196859,290 lb,232 lb,185 lb,300 lb,2:09,1:37,9:00,17:55,--,19:53,--,65,
587438,275 lb,210 lb,150 lb,335 lb,2:08,2:08,8:30,21:38,--,21:30,308,30,
258230,--,--,--,--,--,--,--,--,--,--,--,--,
1195516,--,--,--,--,--,--,--,--,--,--,--,--,
710750,130 kg,102 kg,85 kg,140 kg,2:14,1:56,--,--,--,23:44,329,--,
113169,320 lb,230 lb,175 lb,325 lb,2:20,1:49,8:26,--,--,--,--,--,--
1597772,--,--,--,--,--,--,--,--,--,--,--,--,
2687,--,--,--,--,2:10,--,--,--,--,--,--,--,
107619,118 kg,92 kg,72 kg,135 kg,2:29,--,8:43,--,--,22:31,--,--,
948954,--,--,--,--,--,--,--,--,--,--,--,--,
1073413,--,--,--,--,--,--,--,--,--,--,--,--,
156752,265 lb,225 lb,180 lb,330 lb,3:20,2:41,8:09,--,--,21:45,337,32,
248578,135 kg,100 kg,81 kg,155 kg,--,--,--,--,--,--,--,--,
664961,--,--,--,--,--,--,--,--,--,--,--,--,
1247184,--,--,--,--,--,--,--,--,--,--,--,--,
1678939,--,--,--,--,--,--,--,--,--,--,--,--,
160700,295 lb,230 lb,175 lb,340 lb,2:06,1:36,--,--,--,--,--,--,
499103,245 lb,170 lb,140 lb,325 lb,3:49,--,--,--,--,--,--,--,
1696808,--,--,--,--,--,--,--,--,--,--,--,--,
1250516,--,--,--,--,--,--,--,--,--,--,--,--,
27497,300 lb,230 lb,185 lb,325 lb,2:19,1:17,--,--,--,--,378,40,
747286,--,--,--,--,--,--,--,--,--,--,--,--,
